1.10266 0.7189 115 191 47
1.32119 0.7189 115 191 47
1.32119 -0.996144 115 191 47
1.10266 -0.996144 115 191 47
1.25683 0.711529 88 127 32
1.31901 0.711529 88 127 32
1.31901 -0.996179 88 127 32
1.25683 -0.996179 88 127 32
1.27161 0.712032 116 191 45
1.28763 0.712032 116 191 45
1.28763 -0.996169 116 191 45
1.27161 -0.996169 116 191 45
1.0227 0.717179 156 231 90
1.10264 0.717186 156 231 90
1.10269 -0.99613 156 231 90
1.02274 -0.996137 156 231 90
1.01389 0.730167 0 0 0
1.02735 0.730167 0 0 0
1.02735 -0.996159 0 0 0
1.01389 -0.996159 0 0 0
1.31156 0.730106 0 0 0
1.32502 0.730106 0 0 0
1.32502 -0.996215 0 0 0
1.31156 -0.996215 0 0 0
1.03899 0.716324 227 254 138
1.05411 0.716324 227 254 138
1.05411 -0.996126 227 254 138
1.03899 -0.996126 227 254 138
1.12218 0.718041 156 231 90
1.13865 0.718041 156 231 90
1.13865 -0.996147 156 231 90
1.12218 -0.996147 156 231 90
1.0071 0.986432 156 231 87
1.33125 0.986432 156 231 87
1.33125 0.741077 156 231 87
1.0071 0.741077 156 231 87
1.11681 0.962392 116 191 48
1.3308 0.962392 116 191 48
1.3308 0.739402 116 191 48
1.11681 0.739402 116 191 48
1.09178 0.965017 115 192 47
1.10419 0.965017 115 192 47
1.10419 0.744203 115 192 47
1.09178 0.744203 115 192 47
1.27101 0.962207 87 129 30
1.28531 0.962207 87 129 30
1.28531 0.738412 87 129 30
1.27101 0.738412 87 129 30
1.30215 0.961819 87 129 30
1.32666 0.961819 87 129 30
1.32666 0.743315 87 129 30
1.30215 0.743315 87 129 30
1.02637 0.985175 230 255 140
1.03861 0.985175 230 255 140
1.03861 0.744845 230 255 140
1.02637 0.744845 230 255 140
1.03589 0.982554 230 255 140
1.19796 0.982554 230 255 140
1.19796 0.96193 230 255 140
1.03589 0.96193 230 255 140
1 1 0 2 0
1.01154 1 0 2 0
1.01154 0.728216 0 2 0
1 0.728216 0 2 0
1.00064 1 0 2 0
1.33596 1 0 2 0
1.33596 0.981052 0 2 0
1.00064 0.981052 0 2 0
1.01154 0.751901 28 79 52
1.3273 0.751901 28 79 52
1.3273 0.729993 28 79 52
1.01154 0.729993 28 79 52
1.32659 0.999874 0 2 0
1.33814 0.999874 0 2 0
1.33814 0.72809 0 2 0
1.32659 0.72809 0 2 0
1.01572 0.730191 0 0 0
1.32332 0.730191 0 0 0
1.32332 0.708838 0 0 0
1.01572 0.708838 0 0 0
