0 -1
-1 -0.8
-1 -1
-0.9798 -0.79365
-0.9596 -0.78732
-0.93939 -0.78099
-0.91919 -0.77468
-0.89899 -0.7684
-0.87879 -0.76215
-0.85859 -0.75594
-0.83838 -0.74977
-0.81818 -0.74365
-0.79798 -0.73759
-0.77778 -0.7316
-0.75758 -0.72567
-0.73737 -0.71981
-0.71717 -0.71404
-0.69697 -0.70835
-0.67677 -0.70276
-0.65657 -0.69726
-0.63636 -0.69187
-0.61616 -0.68659
-0.59596 -0.68142
-0.57576 -0.67637
-0.55556 -0.67144
-0.53535 -0.66665
-0.51515 -0.66198
-0.49495 -0.65746
-0.47475 -0.65308
-0.45455 -0.64885
-0.43434 -0.64477
-0.41414 -0.64085
-0.39394 -0.63708
-0.37374 -0.63349
-0.35354 -0.63005
-0.33333 -0.62679
-0.31313 -0.62371
-0.29293 -0.6208
-0.27273 -0.61807
-0.25253 -0.61553
-0.23232 -0.61317
-0.21212 -0.611
-0.19192 -0.60902
-0.17172 -0.60723
-0.15152 -0.60564
-0.13131 -0.60424
-0.11111 -0.60304
-0.090909 -0.60204
-0.070707 -0.60123
-0.050505 -0.60063
-0.030303 -0.60023
-0.010101 -0.60003
0.010101 -0.60003
0.030303 -0.60023
0.050505 -0.60063
0.070707 -0.60123
0.090909 -0.60204
0.11111 -0.60304
0.13131 -0.60424
0.15152 -0.60564
0.17172 -0.60723
0.19192 -0.60902
0.21212 -0.611
0.23232 -0.61317
0.25253 -0.61553
0.27273 -0.61807
0.29293 -0.6208
0.31313 -0.62371
0.33333 -0.62679
0.35354 -0.63005
0.37374 -0.63349
0.39394 -0.63708
0.41414 -0.64085
0.43434 -0.64477
0.45455 -0.64885
0.47475 -0.65308
0.49495 -0.65746
0.51515 -0.66198
0.53535 -0.66665
0.55556 -0.67144
0.57576 -0.67637
0.59596 -0.68142
0.61616 -0.68659
0.63636 -0.69187
0.65657 -0.69726
0.67677 -0.70276
0.69697 -0.70835
0.71717 -0.71404
0.73737 -0.71981
0.75758 -0.72567
0.77778 -0.7316
0.79798 -0.73759
0.81818 -0.74365
0.83838 -0.74977
0.85859 -0.75594
0.87879 -0.76215
0.89899 -0.7684
0.91919 -0.77468
0.93939 -0.78099
0.9596 -0.78732
0.9798 -0.79365
1 -0.8
1 -1
