0.182951 0.622608 247 148 29
0.493058 0.622608 247 148 29
0.493058 -0.438985 247 148 29
0.182951 -0.438985 247 148 29
0.0205638 0.484971 247 148 29
0.20768 0.484971 247 148 29
0.20768 0.31435 247 148 29
0.0205638 0.31435 247 148 29
-0.151575 -0.418682 247 148 29
0.828629 -0.418682 247 148 29
0.828629 -0.589303 247 148 29
-0.151575 -0.589303 247 148 29
0.476512 0.642629 35 31 32
0.525954 0.642629 35 31 32
0.525954 -0.438985 35 31 32
0.476512 -0.438985 35 31 32
0.158239 0.642629 35 31 32
0.20768 0.642629 35 31 32
0.20768 0.464668 35 31 32
0.158239 0.464668 35 31 32
0.158239 0.334666 35 31 32
0.20768 0.334666 35 31 32
0.20768 -0.438985 35 31 32
0.158239 -0.438985 35 31 32
-0.00818306 0.505287 35 31 32
0.0412583 0.505287 35 31 32
0.0412583 0.294061 35 31 32
-0.00818306 0.294061 35 31 32
-0.176287 -0.398366 35 31 32
-0.126846 -0.398366 35 31 32
-0.126846 -0.609592 35 31 32
-0.176287 -0.609592 35 31 32
0.803917 -0.398366 35 31 32
0.853358 -0.398366 35 31 32
0.853358 -0.609592 35 31 32
0.803917 -0.609592 35 31 32
-0.126846 -0.609605 35 31 32
-0.126846 -0.568986 35 31 32
0.803917 -0.568986 35 31 32
0.803917 -0.609605 35 31 32
-0.151575 -0.438984 35 31 32
-0.151575 -0.398365 35 31 32
0.173216 -0.398365 35 31 32
0.173216 -0.438984 35 31 32
0.510176 -0.438984 35 31 32
0.510176 -0.398366 35 31 32
0.834967 -0.398366 35 31 32
0.834967 -0.438984 35 31 32
0.189844 0.602587 35 31 32
0.189844 0.642629 35 31 32
0.514635 0.642629 35 31 32
0.514635 0.602587 35 31 32
0.0274565 0.294047 35 31 32
0.0274565 0.334666 35 31 32
0.167222 0.334666 35 31 32
0.167222 0.294047 35 31 32
0.0205637 0.464668 35 31 32
0.0205637 0.505287 35 31 32
0.167222 0.505287 35 31 32
0.167222 0.464668 35 31 32
